epoch_utc,station,receiver_clock_offset_s,receiver_clock_offset_ns,sigma_s,sigma_ns
2025-04-10T01:12:42,ALGO,-5.279e-09,-5.279,,
2025-04-10T01:13:12,ALGO,-3.992e-09,-3.9920000000000004,,
2025-04-10T01:13:42,ALGO,-6.12e-09,-6.12,,
2025-04-10T01:14:12,ALGO,-4.806e-09,-4.806,,
2025-04-10T01:14:42,ALGO,-5.625e-09,-5.625,,
2025-04-10T01:15:12,ALGO,-4.424e-09,-4.4239999999999995,,
2025-04-10T01:15:42,ALGO,-4.531e-09,-4.531000000000001,,
2025-04-10T01:16:12,ALGO,-3.944e-09,-3.9439999999999995,,
2025-04-10T01:16:42,ALGO,-4.871e-09,-4.871,,
2025-04-10T01:17:12,ALGO,-4.004e-09,-4.004,,
2025-04-10T01:17:42,ALGO,-4.539e-09,-4.539,,
2025-04-10T01:18:12,ALGO,-3.869e-09,-3.8689999999999998,,
2025-04-10T01:18:42,ALGO,-4.982e-09,-4.982,,
2025-04-10T01:19:12,ALGO,-4.381e-09,-4.380999999999999,,
2025-04-10T01:19:42,ALGO,-4.79e-09,-4.79,,
2025-04-10T01:20:12,ALGO,-4.626e-09,-4.626,,
2025-04-10T01:20:42,ALGO,-4.609e-09,-4.609,,
2025-04-10T01:21:12,ALGO,-4.342e-09,-4.3420000000000005,,
2025-04-10T01:21:42,ALGO,-4.027e-09,-4.027,,
2025-04-10T01:22:12,ALGO,-4.933e-09,-4.933,,
2025-04-10T01:22:42,ALGO,-3.668e-09,-3.668,,
2025-04-10T01:23:12,ALGO,-5.311e-09,-5.311,,
2025-04-10T01:23:42,ALGO,-4.216e-09,-4.216,,
2025-04-10T01:24:12,ALGO,-4.53e-09,-4.53,,
2025-04-10T01:24:42,ALGO,-4.88e-09,-4.88,,
2025-04-10T01:25:12,ALGO,-4.306e-09,-4.306,,
2025-04-10T01:25:42,ALGO,-4.335e-09,-4.335,,
2025-04-10T01:26:12,ALGO,-5.593e-09,-5.593,,
2025-04-10T01:26:42,ALGO,-5.365e-09,-5.365,,
2025-04-10T01:27:12,ALGO,-4.145e-09,-4.1450000000000005,,
2025-04-10T01:27:42,ALGO,-3.987e-09,-3.9870000000000005,,
2025-04-10T01:28:12,ALGO,-4.547e-09,-4.547,,
2025-04-10T01:28:42,ALGO,-4.031e-09,-4.031,,
2025-04-10T01:29:12,ALGO,-3.99e-09,-3.9899999999999998,,
2025-04-10T01:29:42,ALGO,-4.741e-09,-4.741,,
2025-04-10T01:30:12,ALGO,-3.824e-09,-3.824,,
2025-04-10T01:30:42,ALGO,-4.05e-09,-4.05,,
2025-04-10T01:31:12,ALGO,-4.505e-09,-4.505,,
2025-04-10T01:31:42,ALGO,-4.064e-09,-4.064,,
2025-04-10T01:32:12,ALGO,-3.761e-09,-3.7609999999999997,,
2025-04-10T01:32:42,ALGO,-4.254e-09,-4.2540000000000004,,
2025-04-10T01:33:12,ALGO,-4.892e-09,-4.892,,
2025-04-10T01:33:42,ALGO,-3.868e-09,-3.8680000000000003,,
2025-04-10T01:34:12,ALGO,-4.714e-09,-4.714,,
2025-04-10T01:34:42,ALGO,-4.568e-09,-4.568,,
2025-04-10T01:35:12,ALGO,-4.366e-09,-4.366,,
2025-04-10T01:35:42,ALGO,-4.453e-09,-4.453,,
2025-04-10T01:36:12,ALGO,-4.261e-09,-4.261,,
2025-04-10T01:36:42,ALGO,-5.023e-09,-5.023,,
2025-04-10T01:37:12,ALGO,-4.246e-09,-4.2459999999999996,,
2025-04-10T01:37:42,ALGO,-3.88e-09,-3.88,,
2025-04-10T01:38:12,ALGO,-4.66e-09,-4.66,,
2025-04-10T01:38:42,ALGO,-5.373e-09,-5.373,,
2025-04-10T01:39:12,ALGO,-4.134e-09,-4.134,,
2025-04-10T01:39:42,ALGO,-4.054e-09,-4.054,,
2025-04-10T01:40:12,ALGO,-4.718e-09,-4.718,,
2025-04-10T01:40:42,ALGO,-4.407e-09,-4.407,,
2025-04-10T01:41:12,ALGO,-4.385e-09,-4.385,,
2025-04-10T01:41:42,ALGO,-3.656e-09,-3.656,,
2025-04-10T01:42:12,ALGO,-4.134e-09,-4.134,,
2025-04-10T01:42:42,ALGO,-3.5e-09,-3.5,,
2025-04-10T01:43:12,ALGO,-4.706e-09,-4.706,,
2025-04-10T01:43:42,ALGO,-4.668e-09,-4.668,,
2025-04-10T01:44:12,ALGO,-4.66e-09,-4.66,,
2025-04-10T01:44:42,ALGO,-4.295e-09,-4.295,,
2025-04-10T01:45:12,ALGO,-4.069e-09,-4.069,,
2025-04-10T01:45:42,ALGO,-4.323e-09,-4.323,,
2025-04-10T01:46:12,ALGO,-4.526e-09,-4.526000000000001,,
2025-04-10T01:46:42,ALGO,-4.453e-09,-4.453,,
2025-04-10T01:47:12,ALGO,-3.625e-09,-3.625,,
2025-04-10T01:47:42,ALGO,-4.22e-09,-4.22,,
2025-04-10T01:48:12,ALGO,-4.223e-09,-4.223,,
2025-04-10T01:48:42,ALGO,-4.708e-09,-4.708,,
2025-04-10T01:49:12,ALGO,-4.558e-09,-4.558,,
2025-04-10T01:49:42,ALGO,-4.642e-09,-4.642,,
2025-04-10T01:50:12,ALGO,-4.504e-09,-4.5040000000000004,,
2025-04-10T01:50:42,ALGO,-4.099e-09,-4.099,,
2025-04-10T01:51:12,ALGO,-5.035e-09,-5.035,,
2025-04-10T01:51:42,ALGO,-4.261e-09,-4.261,,
2025-04-10T01:52:12,ALGO,-4.148e-09,-4.148000000000001,,
2025-04-10T01:52:42,ALGO,-4.61e-09,-4.609999999999999,,
2025-04-10T01:53:12,ALGO,-4.946e-09,-4.946,,
2025-04-10T01:53:42,ALGO,-4.293e-09,-4.293,,
2025-04-10T01:54:12,ALGO,-3.904e-09,-3.904,,
2025-04-10T01:54:42,ALGO,-4.303e-09,-4.303,,
2025-04-10T01:55:12,ALGO,-3.929e-09,-3.929,,
2025-04-10T01:55:42,ALGO,-4.159e-09,-4.159,,
2025-04-10T01:56:12,ALGO,-4.562e-09,-4.561999999999999,,
2025-04-10T01:56:42,ALGO,-4.191e-09,-4.191,,
2025-04-10T01:57:12,ALGO,-4.629e-09,-4.629,,
2025-04-10T01:57:42,ALGO,-4.165e-09,-4.165,,
2025-04-10T01:58:12,ALGO,-4.267e-09,-4.267,,
2025-04-10T01:58:42,ALGO,-4.22e-09,-4.22,,
2025-04-10T01:59:12,ALGO,-4.225e-09,-4.225,,
2025-04-10T01:59:42,ALGO,-4.29e-09,-4.29,,
2025-04-10T02:00:12,ALGO,-4.803e-09,-4.803,,
2025-04-10T02:00:42,ALGO,-4.438e-09,-4.438,,
2025-04-10T02:01:12,ALGO,-4.241e-09,-4.241,,
2025-04-10T02:01:42,ALGO,-4.554e-09,-4.553999999999999,,
2025-04-10T02:02:12,ALGO,-4.641e-09,-4.641,,
2025-04-10T02:02:42,ALGO,-3.602e-09,-3.6020000000000003,,
2025-04-10T02:03:12,ALGO,-4.072e-09,-4.072,,
2025-04-10T02:03:42,ALGO,-4.997e-09,-4.997,,
2025-04-10T02:04:12,ALGO,-4.31e-09,-4.3100000000000005,,
2025-04-10T02:04:42,ALGO,-3.581e-09,-3.581,,
2025-04-10T02:05:12,ALGO,-3.55e-09,-3.55,,
2025-04-10T02:05:42,ALGO,-3.741e-09,-3.741,,
2025-04-10T02:06:12,ALGO,-3.639e-09,-3.639,,
2025-04-10T02:06:42,ALGO,-3.782e-09,-3.7820000000000005,,
2025-04-10T02:07:12,ALGO,-3.582e-09,-3.582,,
2025-04-10T02:07:42,ALGO,-3.6e-09,-3.6,,
2025-04-10T02:08:12,ALGO,-3.696e-09,-3.696,,
2025-04-10T02:08:42,ALGO,-3.784e-09,-3.7840000000000003,,
2025-04-10T02:09:12,ALGO,-3.484e-09,-3.484,,
2025-04-10T02:09:42,ALGO,-3.312e-09,-3.3120000000000003,,
2025-04-10T02:10:12,ALGO,-3.59e-09,-3.59,,
2025-04-10T02:10:42,ALGO,-4.143e-09,-4.143000000000001,,
2025-04-10T02:11:12,ALGO,-4.008e-09,-4.008,,
2025-04-10T02:11:42,ALGO,-4.085e-09,-4.085,,
2025-04-10T02:12:12,ALGO,-4.175e-09,-4.175,,
2025-04-10T02:12:42,ALGO,-3.67e-09,-3.67,,
2025-04-10T02:13:12,ALGO,-3.437e-09,-3.437,,
2025-04-10T02:13:42,ALGO,-4.051e-09,-4.051,,
2025-04-10T02:14:12,ALGO,-4.027e-09,-4.027,,
2025-04-10T02:14:42,ALGO,-4.175e-09,-4.175,,
2025-04-10T02:15:12,ALGO,-3.673e-09,-3.673,,
2025-04-10T02:15:42,ALGO,-3.822e-09,-3.822,,
2025-04-10T02:16:12,ALGO,-4.504e-09,-4.5040000000000004,,
2025-04-10T02:16:42,ALGO,-3.799e-09,-3.799,,
2025-04-10T02:17:12,ALGO,-3.393e-09,-3.3930000000000002,,
2025-04-10T02:17:42,ALGO,-3.997e-09,-3.9970000000000003,,
2025-04-10T02:18:12,ALGO,-3.895e-09,-3.8950000000000005,,
2025-04-10T02:18:42,ALGO,-3.688e-09,-3.688,,
2025-04-10T02:19:12,ALGO,-3.535e-09,-3.5349999999999997,,
2025-04-10T02:19:42,ALGO,-4.179e-09,-4.178999999999999,,
2025-04-10T02:20:12,ALGO,-3.431e-09,-3.431,,
2025-04-10T02:20:42,ALGO,-3.442e-09,-3.4419999999999997,,
2025-04-10T02:21:12,ALGO,-4.026e-09,-4.026,,
2025-04-10T02:21:42,ALGO,-3.559e-09,-3.5589999999999997,,
2025-04-10T02:22:12,ALGO,-3.401e-09,-3.4010000000000002,,
2025-04-10T02:22:42,ALGO,-3.752e-09,-3.7520000000000002,,
2025-04-10T02:23:12,ALGO,-3.595e-09,-3.595,,
2025-04-10T02:23:42,ALGO,-4.04e-09,-4.04,,
2025-04-10T02:24:12,ALGO,-3.652e-09,-3.6519999999999997,,
2025-04-10T02:24:42,ALGO,-3.679e-09,-3.679,,
2025-04-10T02:25:12,ALGO,-3.576e-09,-3.576,,
2025-04-10T02:25:42,ALGO,-4.17e-09,-4.17,,
2025-04-10T02:26:12,ALGO,-4.045e-09,-4.045,,
2025-04-10T02:26:42,ALGO,-4.284e-09,-4.284,,
2025-04-10T02:27:12,ALGO,-4.302e-09,-4.3020000000000005,,
2025-04-10T02:27:42,ALGO,-4.865e-09,-4.865,,
2025-04-10T02:28:12,ALGO,-4.12e-09,-4.12,,
2025-04-10T02:28:42,ALGO,-4.009e-09,-4.0089999999999995,,
2025-04-10T02:29:12,ALGO,-4.529e-09,-4.529000000000001,,
2025-04-10T02:29:42,ALGO,-4.519e-09,-4.519,,
2025-04-10T02:30:12,ALGO,-3.766e-09,-3.7659999999999996,,
2025-04-10T02:30:42,ALGO,-4.472e-09,-4.472,,
2025-04-10T02:31:12,ALGO,-3.352e-09,-3.352,,
2025-04-10T02:31:42,ALGO,-4.405e-09,-4.405,,
2025-04-10T02:32:12,ALGO,-3.754e-09,-3.754,,
2025-04-10T02:32:42,ALGO,-4.03e-09,-4.03,,
2025-04-10T02:33:12,ALGO,-4.153e-09,-4.1530000000000005,,
2025-04-10T02:33:42,ALGO,-4.721e-09,-4.721,,
2025-04-10T02:34:12,ALGO,-4.556e-09,-4.556,,
2025-04-10T02:34:42,ALGO,-4.611e-09,-4.611,,
2025-04-10T02:35:12,ALGO,-4.634e-09,-4.634,,
2025-04-10T02:35:42,ALGO,-4.836e-09,-4.836,,
2025-04-10T02:36:12,ALGO,-4.067e-09,-4.067,,
2025-04-10T02:36:42,ALGO,-4.874e-09,-4.8740000000000006,,
2025-04-10T02:37:12,ALGO,-4.209e-09,-4.209,,
2025-04-10T02:37:42,ALGO,-4.809e-09,-4.809,,
2025-04-10T02:38:12,ALGO,-4.36e-09,-4.359999999999999,,
2025-04-10T02:38:42,ALGO,-4.343e-09,-4.343,,
2025-04-10T02:39:12,ALGO,-4.576e-09,-4.576,,
2025-04-10T02:39:42,ALGO,-4.102e-09,-4.102,,
2025-04-10T02:40:12,ALGO,-4.149e-09,-4.149,,
2025-04-10T02:40:42,ALGO,-4.752e-09,-4.752,,
2025-04-10T02:41:12,ALGO,-4.254e-09,-4.2540000000000004,,
2025-04-10T02:41:42,ALGO,-4.601e-09,-4.601,,
2025-04-10T02:42:12,ALGO,-4.426e-09,-4.426,,
2025-04-10T02:42:42,ALGO,-4.575e-09,-4.574999999999999,,
2025-04-10T02:43:12,ALGO,-4.263e-09,-4.263,,
2025-04-10T02:43:42,ALGO,-4.687e-09,-4.687,,
2025-04-10T02:44:12,ALGO,-4.384e-09,-4.3839999999999995,,
2025-04-10T02:44:42,ALGO,-3.745e-09,-3.7449999999999997,,
2025-04-10T02:45:12,ALGO,-4.324e-09,-4.324000000000001,,
2025-04-10T02:45:42,ALGO,-4.478e-09,-4.478,,
2025-04-10T02:46:12,ALGO,-4.712e-09,-4.712000000000001,,
2025-04-10T02:46:42,ALGO,-5.051e-09,-5.051,,
2025-04-10T02:47:12,ALGO,-4.111e-09,-4.111000000000001,,
2025-04-10T02:47:42,ALGO,-5.181e-09,-5.181,,
2025-04-10T02:48:12,ALGO,-5.155e-09,-5.154999999999999,,
2025-04-10T02:48:42,ALGO,-3.626e-09,-3.626,,
2025-04-10T02:49:12,ALGO,-4.832e-09,-4.832,,
2025-04-10T02:49:42,ALGO,-4.663e-09,-4.663,,
2025-04-10T02:50:12,ALGO,-4.606e-09,-4.606,,
2025-04-10T02:50:42,ALGO,-4.547e-09,-4.547,,
2025-04-10T02:51:12,ALGO,-4.375e-09,-4.375,,
2025-04-10T02:51:42,ALGO,-4.816e-09,-4.816,,
2025-04-10T02:52:12,ALGO,-3.705e-09,-3.705,,
2025-04-10T02:52:42,ALGO,-4.549e-09,-4.5489999999999995,,
2025-04-10T02:53:12,ALGO,-4.355e-09,-4.3549999999999995,,
2025-04-10T02:53:42,ALGO,-4.694e-09,-4.694,,
2025-04-10T02:54:12,ALGO,-3.893e-09,-3.893,,
2025-04-10T02:54:42,ALGO,-4.575e-09,-4.574999999999999,,
2025-04-10T02:55:12,ALGO,-4.175e-09,-4.175,,
2025-04-10T02:55:42,ALGO,-4.254e-09,-4.2540000000000004,,
2025-04-10T02:56:12,ALGO,-4.099e-09,-4.099,,
2025-04-10T02:56:42,ALGO,-4.394e-09,-4.394,,
2025-04-10T02:57:12,ALGO,-4.71e-09,-4.71,,
2025-04-10T02:57:42,ALGO,-4.409e-09,-4.409,,
2025-04-10T02:58:12,ALGO,-4.209e-09,-4.209,,
2025-04-10T02:58:42,ALGO,-4.201e-09,-4.201,,
2025-04-10T02:59:12,ALGO,-4.054e-09,-4.054,,
2025-04-10T02:59:42,ALGO,-4.139e-09,-4.139,,
2025-04-10T03:00:12,ALGO,-4.177e-09,-4.177,,
2025-04-10T03:00:42,ALGO,-4.103e-09,-4.103000000000001,,
2025-04-10T03:01:12,ALGO,-3.698e-09,-3.698,,
2025-04-10T03:01:42,ALGO,-4.063e-09,-4.063,,
2025-04-10T03:02:12,ALGO,-4.097e-09,-4.097,,
2025-04-10T03:02:42,ALGO,-4.184e-09,-4.183999999999999,,
2025-04-10T03:03:12,ALGO,-4.035e-09,-4.035,,
2025-04-10T03:03:42,ALGO,-4.126e-09,-4.126,,
2025-04-10T03:04:12,ALGO,-4.557e-09,-4.5569999999999995,,
2025-04-10T03:04:42,ALGO,-4.257e-09,-4.257,,
2025-04-10T03:05:12,ALGO,-4.931e-09,-4.931,,
2025-04-10T03:05:42,ALGO,-4.056e-09,-4.056,,
2025-04-10T03:06:12,ALGO,-4.369e-09,-4.369,,
2025-04-10T03:06:42,ALGO,-4.326e-09,-4.3260000000000005,,
2025-04-10T03:07:12,ALGO,-4.355e-09,-4.3549999999999995,,
